claimText,claimant,claimDate,publisher,site,reviewUrl,reviewTitle,reviewDate,textualRating
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WNEP,wnep.com,https://www.wnep.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WQAD,wqad.com,https://www.wqad.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WTHR,wthr.com,https://www.wthr.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,ABC10,abc10.com,https://www.abc10.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,FOX43,fox43.com,https://www.fox43.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WUSA9,wusa9.com,https://www.wusa9.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,FOX 61,fox61.com,https://www.fox61.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WWL-TV,wwltv.com,https://www.wwltv.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,13WMAZ,13wmaz.com,https://www.13wmaz.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WHAS11,whas11.com,https://www.whas11.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WVEC,13newsnow.com,https://www.13newsnow.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KARE 11,kare11.com,https://www.kare11.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,9News.com,9news.com,https://www.9news.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KGW,kgw.com,https://www.kgw.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,5NEWS,5newsonline.com,https://www.5newsonline.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,King 5 News,king5.com,https://www.king5.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KVUE,kvue.com,https://www.kvue.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WCNC,wcnc.com,https://www.wcnc.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,CBS 8,cbs8.com,https://www.cbs8.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,CBS19,cbs19.tv,https://www.cbs19.tv/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,12News,12news.com,https://www.12news.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,KBMT,12newsnow.com,https://www.12newsnow.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,WZZM 13,wzzm13.com,https://www.wzzm13.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,11Alive.com,11alive.com,https://www.11alive.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,Newswest 9,newswest9.com,https://www.newswest9.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,News Center Maine,newscentermaine.com,https://www.newscentermaine.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,VERIFYThis.com,verifythis.com,https://www.verifythis.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Biden admin. spent $7.5B to build eight electric vehicle charging stations.,,,First Coast News,firstcoastnews.com,https://www.firstcoastnews.com/article/news/verify/joe-biden/biden-administration-has-not-spent-7-billion-eight-electric-vehicle-charging-stations/536-1cfc6606-ba89-46a0-b7ea-9e701276ad81,Claims about Biden admin spending $7.5B on eight EV charging stations are false,2025-01-07T19:00:00Z,False. Biden admin. hasn’t spent $7.5B on eight EV charging stations.
Fact Check: Viral video claiming EV explosion in Uttar Pradesh actually shows Crimea car bomb blast,Social Media User,2025-01-07T08:13:08Z,Lighthouse Journalism,lighthousejournalism.com,https://www.lighthousejournalism.com/society/fact-check-viral-video-claiming-ev-explosion-in-uttar-pradesh-actually-shows-crimea-car-bomb-blast-3619/,Fact Check: Viral video claiming EV explosion in Uttar Pradesh actually shows Crimea car bomb blast | lighthousejournalism,,False
"The video shows an electric car exploding in Uttar Pradesh, India",,,Logically Facts,logicallyfacts.com,https://www.logicallyfacts.com/en/fact-check/video-from-crimea-shared-as-ev-car-blast-in-uttar-pradesh,Video from Crimea falsely shared as EV car explosion in UP,2025-01-07T00:00:00Z,False
This video shows an electric vehicle exploding in Uttar Pradesh.,Social media users,2025-01-07T00:00:00Z,India Today,indiatoday.in,https://www.indiatoday.in/fact-check/story/fact-check-assassination-video-crimea-ev-blast-up-2661128-2025-01-07,Fact Check: Car bomb assassination from Crimea FALSELY shared as EV blast in UP,,False
The video shows an EV car blast in Uttar Pradesh.,Instagram User,2025-01-06T11:30:07Z,NewsMeter,newsmeter.in,https://newsmeter.in/fact-check/electric-vehicle-blows-up-in-uttar-pradesh-no-video-shows-car-bomb-blast-in-crimea-741756,"Fact Check: Electric vehicle blows up in Uttar Pradesh? No, video shows car bomb blast in Crimea",2025-01-06T11:30:07Z,False
Biden wasted millions on few electric vehicles,x.com,2024-12-19T00:00:53Z,Lead Stories,leadstories.com,https://leadstories.com/hoax-alert/2024/12/fact-check-biden-administration-did-not-spend-3-billion-dollars-for-just-93-postal-delivery-electric-vehicles.html,Fact Check: Biden Administration Did NOT Spend $3 Billion For Just 93 Postal Delivery Electric Vehicles,2024-12-19T00:00:53Z,More Coming
Biden adminisration has spent $7.5 BILLION to build 8 EV charging stations,Multiple sources,2024-11-24T00:00:00Z,AFP Fact Check,factcheck.afp.com,https://factcheck.afp.com/doc.afp.com.36Q694U,Posts misrepresent progress of EV charging network under Biden,2024-12-13T20:41:00Z,False
U.S. President Joe Biden spent $3 billion on 93 electric mail trucks.,,,Snopes,snopes.com,https://www.snopes.com/fact-check/electric-mail-trucks-biden/,"No, Biden Did Not Spend $3B on 93 Electric Mail Trucks",2024-12-18T18:30:03Z,Mixture
EVs’ metal needs make them less environmentally friendly than combustion vehicles; electrifying road vehicles will simply push CO2 emissions from the tailpipe to the power plant,,,Science Feedback,science.feedback.org,https://science.feedback.org/environmental-impacts-of-the-fossil-fuel-industry-outweigh-those-of-ev-metal-mining-experts-say/,Environmental impacts of the fossil fuel industry outweigh those of ...,2024-10-28T00:00:00Z,Misleading
"“About 400,000 manufacturing jobs in the state of Michigan will go away with EV mandates.”",Mike Rogers,2024-10-14T00:00:00Z,PolitiFact,politifact.com,https://www.politifact.com/factchecks/2024/oct/18/mike-rogers/michigan-senate-candidate-mike-rogers-uses-faulty/,Michigan Senate candidate Mike Rogers uses faulty data to warn of big job losses from EV transition,,False
$0 of $42B for internet has been used; $7.5B yielded only 7 EV chargers,Social media,2024-10-01T00:00:00Z,USA Today,usatoday.com,https://www.usatoday.com/story/news/factcheck/2024/10/18/internet-access-ev-charging-funds-fact-check/75686407007/,"Post misleads on funds for internet access, EV charging | Fact check",2024-10-18T13:50:42Z,False
Ola EV customers in Karnataka set fire to an Ola showroom due to the company's failure to service their vehicles for months.,Viral social media post,2024-10-07T00:00:00Z,Newschecker,newschecker.in,https://newschecker.in/fact-check/old-video-of-ola-electric-showroom-on-fire-shared-out-of-context-amid-bhavish-aggarwal-kunal-kamra-spat,Fact Check: Old Video Of Ola Electric Showroom On Fire Shared Out Of Context Amid Bhavish Aggarwal-Kunal Kamra Spat,2024-10-07T00:00:00Z,Missing Context
Electric vehicles can catch fire after flooding,,,KGW,kgw.com,https://www.kgw.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,KTVB,ktvb.com,https://www.ktvb.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,KVUE,kvue.com,https://www.kvue.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WFAA,wfaa.com,https://www.wfaa.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WLTX,wltx.com,https://www.wltx.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WNEP,wnep.com,https://www.wnep.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WQAD,wqad.com,https://www.wqad.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WTHR,wthr.com,https://www.wthr.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,CBS 8,cbs8.com,https://www.cbs8.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,CBS19,cbs19.tv,https://www.cbs19.tv/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,KIII,kiiitv.com,https://www.kiiitv.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,9News,9news.com,https://www.9news.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WUSA9,wusa9.com,https://www.wusa9.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,KENS 5,kens5.com,https://www.kens5.com/article/news/verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,12News,12news.com,https://www.12news.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WVEC,13newsnow.com,https://www.13newsnow.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,WZZM 13,wzzm13.com,https://www.wzzm13.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
Electric vehicles can catch fire after flooding,,,thv11.com,thv11.com,https://www.thv11.com/article/news/verify/electric-vehicles-verify/electric-vehicles-explode-fire-flood-hurricanes-tesla-fact-check/536-2bf67117-dee3-473b-aa9b-1eafc56621e7,"EVs can catch fire after floods, but won’t ‘explode like a bomb’",2024-10-03T20:41:00Z,"True. While unlikely, EVs can catch fire during or weeks after flooding"
